Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	\\MRC-ASTRAL\DataSSD\2026\03_March\20260323\20260324_KFaber_120017_DRI_X168_20_20260327231857.raw	\\MRC-ASTRAL\DataSSD\2026\03_March\20260323\20260324_KFaber_120017_DRI_X168_19_20260327221231.raw	\\MRC-ASTRAL\DataSSD\2026\03_March\20260323\20260324_KFaber_120017_DRI_X168_15_20260327210606.raw	\\MRC-ASTRAL\DataSSD\2026\03_March\20260323\20260324_KFaber_120017_DRI_X168_14_20260327195941.raw	\\MRC-ASTRAL\DataSSD\2026\03_March\20260323\20260324_KFaber_120017_DRI_X168_13_20260327185315.raw	\\MRC-ASTRAL\DataSSD\2026\03_March\20260323\20260324_KFaber_120017_DRI_X168_12_20260327174650.raw	\\MRC-ASTRAL\DataSSD\2026\03_March\20260323\20260324_KFaber_120017_DRI_X168_4_20260327164027.raw	\\MRC-ASTRAL\DataSSD\2026\03_March\20260323\20260324_KFaber_120017_DRI_X168_2_20260327153359.raw	\\MRC-ASTRAL\DataSSD\2026\03_March\20260323\20260324_KFaber_120017_DRI_X168_18_20260327120051.raw	\\MRC-ASTRAL\DataSSD\2026\03_March\20260323\20260324_KFaber_120017_DRI_X168_17_20260327105425.raw	\\MRC-ASTRAL\DataSSD\2026\03_March\20260323\20260324_KFaber_120017_DRI_X168_16_20260327094800.raw	\\MRC-ASTRAL\DataSSD\2026\03_March\20260323\20260324_KFaber_120017_DRI_X168_11_20260327062843.raw	\\MRC-ASTRAL\DataSSD\2026\03_March\20260323\20260324_KFaber_120017_DRI_X168_10_20260327052217.raw	\\MRC-ASTRAL\DataSSD\2026\03_March\20260323\20260324_KFaber_120017_DRI_X168_9_20260327041551.raw	\\MRC-ASTRAL\DataSSD\2026\03_March\20260323\20260324_KFaber_120017_DRI_X168_8_20260327030927.raw	\\MRC-ASTRAL\DataSSD\2026\03_March\20260323\20260324_KFaber_120017_DRI_X168_7_20260327020303.raw	\\MRC-ASTRAL\DataSSD\2026\03_March\20260323\20260324_KFaber_120017_DRI_X168_6_20260327005639.raw	\\MRC-ASTRAL\DataSSD\2026\03_March\20260323\20260324_KFaber_120017_DRI_X168_5_20260326235014.raw	\\MRC-ASTRAL\DataSSD\2026\03_March\20260323\20260324_KFaber_120017_DRI_X168_3_20260326224350.raw	\\MRC-ASTRAL\DataSSD\2026\03_March\20260323\20260324_KFaber_120017_DRI_X168_1_20260326203102.raw
A0A087WPF7	AUTS2_MOUSE	Auts2	Autism susceptibility gene 2 protein homolog	11	11	548606	233663	1.01122e+06	917639	798845	465998	1.08616e+06	1.88115e+06	100751	306211	318592	437063	172729	409881	208504	244114	338064	195843	403950	405108
A0A088MLT8;P0DPB4	IQIP1_MOUSE;SCHI1_MOUSE	Iqcj-Schip1;Schip1	IQCJ-SCHIP1 readthrough transcript protein	5	0	1.00132e+06	556097	825061	715302	681582	253708	1.19932e+06	2.19011e+06	308760	290094		350647	190374	237756				225096		241667
A0A0A6YY25	BTBDI_MOUSE	Btbd18	BTB/POZ domain-containing protein 18	2	2		149401		43093.4		17063.6								11728.1						
A0A1W2P884	CE85L_MOUSE	Cep85l	Centrosomal protein of 85 kDa-like	3	3	249122	36446.9	179270	61975.5	80282.6		142583	216822				46287.9	25948.9		10772.4	29402.4	26486.3	50928.4	39814.7	
A1A5B6	TBC25_MOUSE	Tbc1d25	TBC1 domain family member 25	7	7	9.36482e+06	2.80577e+06	5.00299e+06	6.19872e+06	3.09799e+06	2.75603e+06	5.24292e+06	6.99044e+06	931931	2.15164e+06	1.21892e+06	1.96627e+06	1.22914e+06	2.32762e+06	1.01969e+06	657370	993740	1.3877e+06	2.15845e+06	1.73277e+06
A1IGU4	ARH37_MOUSE	Arhgef37	Rho guanine nucleotide exchange factor 37	2	2			2373.92	6152.71		4859.13		2245.89		1709.59			1597.61	2040.08						
A1Y9I9	TOMT_MOUSE	Tomt	Transmembrane O-methyltransferase homolog	2	2	43789.5		11678.1	19158.7	24900.9		19270.8													2018.47
A2A432	CUL4B_MOUSE	Cul4b	Cullin-4B	29	21	2.53311e+07	1.09847e+07	1.4389e+07	1.3046e+07	1.1431e+07	8.83329e+06	1.6659e+07	2.03645e+07	2.61335e+06	4.08979e+06	4.55189e+06	5.90076e+06	3.12313e+06	4.75615e+06	2.55115e+06	2.40531e+06	3.26922e+06	3.70007e+06	5.24874e+06	4.01648e+06
A2A4P0	DHX8_MOUSE	Dhx8	ATP-dependent RNA helicase DHX8	6	6	383578	90153.2	79810	125151	98869.5	126981	144419	132580	40588.8	36663.8	41614.6	59119.6	18225.7	46617		23707.9				38566.5
A2A5R2	BIG2_MOUSE	Arfgef2	Brefeldin A-inhibited guanine nucleotide-exchange protein 2	44	30	3.00888e+07	1.44789e+07	9.05802e+06	1.00499e+07	6.16037e+06	5.73695e+06	1.15888e+07	1.69792e+07	1.79602e+06	2.77055e+06	2.56431e+06	4.94093e+06	2.42724e+06	3.29759e+06	2.12743e+06	1.82181e+06	1.80474e+06	2.03959e+06	3.69853e+06	3.57142e+06
A2A5Z6	SMUF2_MOUSE	Smurf2	E3 ubiquitin-protein ligase SMURF2	7	4	501072	139870	295289	230651	323523	203325	347306	306138	121801	242746	215263	272526	53997	84888.6	37857.5		123131		229334	129833
A2A690	TANC2_MOUSE	Tanc2	Protein TANC2	65	64	5.3132e+07	2.80503e+07	1.91285e+07	3.23922e+07	2.42658e+07	2.79917e+07	2.76513e+07	3.36677e+07	3.90744e+06	6.57896e+06	7.13102e+06	1.30208e+07	6.29217e+06	8.73389e+06	3.10597e+06	3.50372e+06	3.77035e+06	3.17571e+06	5.31669e+06	7.23752e+06
A2A699	F1712_MOUSE	Fam171a2	Protein FAM171A2	28	28	4.7217e+07	2.47576e+07	2.42205e+07	4.06059e+07	3.0503e+07	2.42345e+07	3.97981e+07	4.84744e+07	7.02538e+06	9.79932e+06	1.10111e+07	1.63691e+07	8.31298e+06	1.32589e+07	6.0056e+06	4.14805e+06	6.46381e+06	5.3244e+06	7.09436e+06	1.35547e+07
A2A6A1	GPTC8_MOUSE	Gpatch8	G patch domain-containing protein 8	19	18	9.44954e+06	3.01084e+06	5.07738e+06	7.25948e+06	3.90468e+06	3.08709e+06	1.00797e+07	1.60149e+07	765234	1.27858e+06	1.72669e+06	1.95772e+06	1.1088e+06	1.91986e+06	693828	1.18631e+06	1.32557e+06	1.23132e+06	2.5628e+06	2.63572e+06
A2A6Q5	CDC27_MOUSE	Cdc27	Cell division cycle protein 27 homolog	12	12	4.65502e+06	1.49999e+06	1.93666e+06	1.26886e+06	1.45997e+06	1.42122e+06	3.01875e+06	3.3908e+06	490572	576228	873863	947980	440970	704833		387905	422327	464692	1.06217e+06	733124
A2A6T1	CDR2L_MOUSE	Cdr2l	Cerebellar degeneration-related protein 2-like	11	11	2.23391e+06	1.55762e+06	1.55795e+06	1.45005e+06	637065	681457	1.79574e+06	2.60258e+06	219463	500042	340808	550984	486073	641793	342219	231169	507050	483082	457787	651725
A2A791	ZMYM4_MOUSE	Zmym4	Zinc finger MYM-type protein 4	14	14	1.19751e+06	837285	639414	655533	692992	531452	834814	1.05963e+06	140510	347679	191131	432574	211482	298431	134970	142653		163743	398222	306114
A2A7S8	K1522_MOUSE	Kiaa1522	Uncharacterized protein KIAA1522	30	30	1.00448e+07	5.83935e+06	4.50249e+06	7.67181e+06	7.61113e+06	5.49265e+06	7.24927e+06	6.9192e+06	1.06358e+06	1.12091e+06	2.13109e+06	2.90803e+06	1.32942e+06	1.81094e+06	666693	1.07082e+06	882951	1.15637e+06	1.2195e+06	1.87093e+06
