,...1,...2,ID,Raw,Fullcon,Animal,Genotype,BrainRegion,Lowhigh,Condition
1,1,1,1,DRI_X168_1,KDF1-00458_H1.0,KDF1-00458,H1.0,Left_Posterior_Cortex,Low,H1.0_Low
2,2,2,2,DRI_X168_2,KDF1-00521_N279K,KDF1-00521,N279K,Left_Posterior_Cortex,Low,N279K_Low
3,3,3,3,DRI_X168_3,KDF1-00572_IVS10+16,KDF1-00572,IVS10_16,Left_Posterior_Cortex,Low,IVS10_16_Low
4,4,4,4,DRI_X168_4,KDF1-00459_H1.0,KDF1-00459,H1.0,Left_Posterior_Cortex,High,H1.0_High
5,5,5,5,DRI_X168_5,KDF1-00522_N279K,KDF1-00522,N279K,Left_Posterior_Cortex,High,N279K_High
6,6,6,6,DRI_X168_6,KDF1-00573_IVS10+16,KDF1-00573,IVS10_16,Left_Posterior_Cortex,High,IVS10_16_High
7,7,7,7,DRI_X168_7,KDF1-00460_H1.0,KDF1-00460,H1.0,Left_Posterior_Cortex,High,H1.0_High
8,8,8,8,DRI_X168_8,KDF1-00528_N279K,KDF1-00528,N279K,Left_Posterior_Cortex,High,N279K_High
9,9,9,9,DRI_X168_9,KDF1-01165_IVS10+16,KDF1-01165,IVS10_16,Left_Posterior_Cortex,High,IVS10_16_High
10,10,10,10,DRI_X168_10,KDF1-00466_H1.0,KDF1-00466,H1.0,Left_Posterior_Cortex,High,H1.0_High
11,11,11,11,DRI_X168_11,KDF1-00529_N279K,KDF1-00529,N279K,Left_Posterior_Cortex,Low,N279K_Low
12,12,12,12,DRI_X168_12,KDF1-01166_IVS10+16,KDF1-01166,IVS10_16,Left_Posterior_Cortex,Low,IVS10_16_Low
13,13,13,13,DRI_X168_13,KDF1-00467_H1.0,KDF1-00467,H1.0,Left_Posterior_Cortex,Low,H1.0_Low
14,14,14,14,DRI_X168_14,KDF1-00530_N279K,KDF1-00530,N279K,Left_Posterior_Cortex,High,N279K_High
15,15,15,15,DRI_X168_15,KDF1-01167_IVS10+16,KDF1-01167,IVS10_16,Left_Posterior_Cortex,High,IVS10_16_High
16,16,16,16,DRI_X168_16,KDF1-00580_H1.0,KDF1-00580,H1.0,Left_Posterior_Cortex,High,H1.0_High
17,17,17,17,DRI_X168_17,KDF1-00531_N279K,KDF1-00531,N279K,Left_Posterior_Cortex,High,N279K_High
18,18,18,18,DRI_X168_18,KDF1-01178_IVS10+16,KDF1-01178,IVS10_16,Left_Posterior_Cortex,High,IVS10_16_High
19,19,19,19,DRI_X168_19,KDF1-00581_H1.0,KDF1-00581,H1.0,Left_Posterior_Cortex,High,H1.0_High
20,20,20,20,DRI_X168_20,KDF1-00582_H1.0,KDF1-00582,H1.0,Left_Posterior_Cortex,High,H1.0_High
