Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	Z:\ms-data\mrc-bstral\2025\02_Feburary\20250228\250302_RN-KDL_Set6-Hippo_TP_DIA_01_20250302190913.raw	Z:\ms-data\mrc-bstral\2025\02_Feburary\20250228\250302_RN-KDL_Set6-Hippo_TP_DIA_02.raw	Z:\ms-data\mrc-bstral\2025\02_Feburary\20250228\250302_RN-KDL_Set6-Hippo_TP_DIA_03.raw	Z:\ms-data\mrc-bstral\2025\02_Feburary\20250228\250302_RN-KDL_Set6-Hippo_TP_DIA_19.raw	Z:\ms-data\mrc-bstral\2025\02_Feburary\20250228\250302_RN-KDL_Set6-Hippo_TP_DIA_20.raw	Z:\ms-data\mrc-bstral\2025\02_Feburary\20250228\250302_RN-KDL_Set6-Hippo_TP_DIA_21.raw	Z:\ms-data\mrc-bstral\2025\02_Feburary\20250228\250302_RN-KDL_Set6-Hippo_TP_DIA_22.raw
A0A087WPF7	AUTS2_MOUSE	Auts2	Autism susceptibility gene 2 protein homolog	8	8	433921	409493	336375	212208	437245	394261	501640
A0A0G2JDV3	GBP6_MOUSE	Gbp6	Guanylate-binding protein 6	7	7	436995	496599	375662	495912	594216	691227	618553
A0A1W2P872	NOVA2_MOUSE	Nova2	RNA-binding protein Nova-2	20	16	3.86E+07	3.90E+07	3.89E+07	2.73E+07	4.35E+07	4.24E+07	4.34E+07
A0A7N9VSG0	SPA5L_MOUSE	Spata5l1	Ribosome biogenesis protein SPATA5L1	4	4	35596.2	39285	26683.4	73614.3	98048.1	40160.4	
A0JNU3	LPP60_MOUSE	Aspg	60 kDa lysophospholipase	1	1							36479.5
A1A5B6	TBC25_MOUSE	Tbc1d25	TBC1 domain family member 25	12	12	5.81E+06	5.42E+06	5.06E+06	4.08E+06	5.76E+06	5.94E+06	6.21E+06
A1L314	MPEG1_MOUSE	Mpeg1	Macrophage-expressed gene 1 protein	3	3		11638.2			10142.7	10190.6	10720.6
A2A432	CUL4B_MOUSE	Cul4b	Cullin-4B	53	40	1.30E+07	1.28E+07	1.33E+07	8.80E+06	1.37E+07	1.44E+07	1.48E+07
A2A4P0	DHX8_MOUSE	Dhx8	ATP-dependent RNA helicase DHX8	15	15	870796	703343	876091	579505	846698	834345	858070
A2A5R2	BIG2_MOUSE	Arfgef2	Brefeldin A-inhibited guanine nucleotide-exchange protein 2	83	63	9.35E+07	9.11E+07	9.23E+07	6.49E+07	9.54E+07	9.68E+07	9.94E+07
A2A5Z6	SMUF2_MOUSE	Smurf2	E3 ubiquitin-protein ligase SMURF2	11	8	3.46E+06	3.49E+06	3.02E+06	2.00E+06	3.61E+06	3.21E+06	4.00E+06
A2A690	TANC2_MOUSE	Tanc2	Protein TANC2	2	2	456337	402844	465819	470340	574015	533924	486077
A2A690-2	TANC2_MOUSE	Tanc2	Isoform 2 of Protein TANC2	86	85	1.42E+07	1.39E+07	1.43E+07	9.99E+06	1.38E+07	1.43E+07	1.47E+07
A2A699	F1712_MOUSE	Fam171a2	Protein FAM171A2	31	31	1.46E+07	1.53E+07	1.59E+07	1.05E+07	1.58E+07	1.63E+07	1.76E+07
A2A6A1	GPTC8_MOUSE	Gpatch8	G patch domain-containing protein 8	17	15	3.04E+06	3.06E+06	3.66E+06	2.00E+06	3.75E+06	3.65E+06	3.37E+06
A2A6Q5;A2A6Q5-3	CDC27_MOUSE	Cdc27	Cell division cycle protein 27 homolog	17	17	1.62E+06	1.66E+06	1.57E+06	1.09E+06	1.64E+06	1.84E+06	1.63E+06
A2A6T1	CDR2L_MOUSE	Cdr2l	Cerebellar degeneration-related protein 2-like	16	16	1.00E+07	8.54E+06	7.56E+06	7.07E+06	1.02E+07	1.07E+07	1.06E+07
A2A791	ZMYM4_MOUSE	Zmym4	Zinc finger MYM-type protein 4	17	17	9.48E+06	9.51E+06	8.94E+06	6.67E+06	9.01E+06	1.13E+07	9.50E+06
A2A7S8-2	K1522_MOUSE	Kiaa1522	Isoform 2 of Uncharacterized protein KIAA1522	12	12	3.57E+07	4.09E+07	4.50E+07	2.51E+07	4.76E+07	3.43E+07	5.48E+07
